Nigeria,NGA,3571,4829,8486,6780,7270,7355,9171,9019,8768,8460,10124,8747,8806,3154,1694
Nicaragua,NIC,16000,5643,557,474,332,325,300,227,199,184,147,64,86,129,189
Netherlands,NLD,17337,43538,102588,131490,146180,148362,140886,118189,100574,86587,77600,74961,74598,71909,74707
Norway,NOR,19581,38375,48409,45334,47693,50432,46109,43034,43336,34522,36101,40260,40691,42822,46106
Nepal,NPL,17800,105342,126815,126101,129237,132436,123667,126436,128175,130681,124832,89808,72654,56264,46305
New Zealand,NZL,4666,3942,3788,4097,4923,5757,5807,5307,4906,2740,2716,2307,1934,1517,1403
Pakistan,PAK,3255975,1479266,1202703,1202462,2001466,1227433,1124298,1084694,1044462,2035023,1780935,1900621,1702700,1638456,1616507
Panama,PAN,1350,964,867,1188,1313,1573,1445,1730,1848,16890,16913,17073,17262,17429,17665
Peru,PER,724,738,663,433,687,688,718,848,911,995,1075,1146,1144,1122,1162
Philippines,PHL,19860,2477,691,307,176,114,108,96,100,106,104,243,125,141,182
Papua New Guinea,PNG,7099,7670,10176,8198,5863,4941,7491,9999,10183,10003,10006,9698,9377,9383,9378
Poland,POL,,810,600,898,1020,1591,1836,4604,6790,10053,12774,15555,15847,15911,16438
Portugal,PRT,867,600,308,339,433,462,418,363,333,353,403,384,408,483,598
Paraguay,PRY,66,52,53,30,21,21,28,50,59,62,75,107,124,133,136
Qatar,QAT,,,,,31,46,46,46,46,46,13,51,80,80,130
Romania,ROU,,1170,269,989,1685,1857,2011,2056,1658,1757,1596,1021,1005,1262,1770
Russian Federation,RUS,,,246691,128574,26265,14969,9899,1523,1425,1655,3479,4922,3914,3178,3458
Rwanda,RWA,23601,277000,25257,33403,28398,30863,36608,45206,49192,53577,55062,55398,55325,58212,73349
South Asia,SAS,3486713,2078511,1612369,1536385,2323287,1550780,1432566,1371649,1357511,2355038,2119005,2411160,2193338,2127370,2099360
Saudi Arabia,SAU,,24025,9852,5531,5309,245290,240835,240701,240772,240742,240572,582,599,577,559
Sudan,SDN,1031050,745200,393874,391496,414928,328176,138163,147256,196200,222722,181605,178308,139415,152194,159857
Senegal,SEN,58113,73002,65044,60823,20766,20711,20726,20712,20591,20421,33193,20672,20644,14237,14247
Singapore,SGP,146,11,10,5,,2,1,3,1,10,10,7,3,3,3
Sierra Leone,SLE,125830,16279,13532,9866,6546,63494,61194,59965,27365,8795,7826,8363,8092,4204,2817
El Salvador,SLV,20300,163,150,33,59,74,246,49,39,39,32,38,38,45,44
Somalia,SOM,460000,399,700,337,558,199,368,493,669,901,1842,1937,2099,2309,2425
Serbia,SRB,,,,,,,,,98997,97995,96739,73608,70707,66370,57083
South Sudan,SSD,,,,,,,,,,,,,105023,202581,229587
Slovak Republic,SVK,,1521,1387,424,457,444,414,368,248,279,317,461,546,662,701
Slovenia,SVN,,45000,10014,3465,2816,390,2069,251,254,263,268,314,142,176,213
Sweden,SWE,109663,162402,191171,178795,157220,142193,112167,74915,79913,75078,77038,82629,86615,92872,114175
Swaziland,SWZ,42074,48889,575,592,690,653,686,760,752,789,775,759,759,505,507
Syrian Arab Republic,SYR,284856,353392,375150,391009,390989,408519,417508,458137,1144572,1955236,1567595,1501442,1242391,975695,517255
Chad,TCD,,70,100,8810,17692,33455,146400,275412,286743,294017,330510,347939,366494,373695,434479
Togo,TGO,3477,3280,12589,11816,12223,12294,12395,9287,6328,1328,9377,14051,19270,23540,20613
Thailand,THA,99821,119232,107962,138332,104965,112614,119053,117053,133117,125643,112932,96675,89253,84479,136499
Tajikistan,TJK,,300,1166,3634,15364,3437,3306,1018,929,1133,1799,3131,3323,2248,2048
Turkmenistan,TKM,,15400,15580,14625,14188,13693,13511,11963,750,125,79,62,59,46,45
Tunisia,TUN,30,99,176,528,436,102,99,87,93,101,94,89,4097,1435,730
Turkey,TUR,28000,23267,8166,2528,3103,3301,2490,2399,2633,6956,11103,10032,14465,267063,609938
Tanzania,TZA,265184,564520,498732,543881,680862,689373,649770,548824,485295,435630,321909,109286,131243,101021,102099
Uganda,UGA,145718,286500,264294,204545,236622,217302,230903,257256,272007,228959,162132,135801,139448,197877,220555
Ukraine,UKR,,,3591,6101,2951,2966,2877,2346,2275,7277,7201,3022,3176,2807,2968
Uruguay,URY,87,138,138,163,79,99,91,121,125,140,145,189,174,181,203
United States,USA,464887,623069,607024,533969,508222,485171,452548,379340,843498,281219,279548,264574,264763,262023,263662
Uzbekistan,UZB,,8000,2900,1071,38350,44936,44682,43950,1415,1054,821,311,214,176,141
"Venezuela, RB",VEN,1750,2221,1596,158,132,58,58,408,720,200907,201161,201547,202022,203644,204340
Vietnam,VNM,21150,5084,34400,15000,15945,15945,15360,2357,2357,2357,2357,1928,990,,
West Bank and Gaza,PSE,910637,1084838,1249368,1348288,1428891,1532589,1587920,1685851,1739266,1793901,1836123,2015855,1895043,1944544,1994493
"Yemen, Rep.",YEM,2938,54450,53546,61382,60545,82803,61881,81937,95794,117363,140169,190092,214740,237182,241288
South Africa,ZAF,,250000,22645,8388,15063,23344,26558,29714,35086,36736,43546,57899,57899,65233,65881
"Congo, Dem. Rep.",COD,416435,572070,675973,240214,332509,332978,234033,204341,208371,177390,155162,166336,152749,65109,113362
Zambia,ZMB,138049,141126,131139,168564,250940,246765,226697,155718,120253,112931,83485,47857,45632,25653,23594
Zimbabwe,ZWE,190950,100482,595,1655,4127,9432,12721,13850,3519,3981,3468,4435,4561,4356,6389
